Crm Cd Desc,Vict Sex,Vict Age Group,Weapon Category,Crime Count,Crime %
ARSON,M,35-49,No weapon / unknown,228,15.58
ARSON,M,50-64,No weapon / unknown,178,12.17
ARSON,F,35-49,No weapon / unknown,130,8.89
ARSON,F,50-64,No weapon / unknown,121,8.27
ARSON,M,25-34,No weapon / unknown,97,6.63
ARSON,F,25-34,No weapon / unknown,90,6.15
ARSON,M,35-49,Other weapon,79,5.4
ARSON,M,50-64,Other weapon,79,5.4
ARSON,M,65+,No weapon / unknown,61,4.17
ARSON,F,65+,No weapon / unknown,53,3.62
ARSON,F,35-49,Other weapon,49,3.35
ARSON,F,50-64,Other weapon,36,2.46
ARSON,M,25-34,Other weapon,35,2.39
ARSON,F,25-34,Other weapon,34,2.32
ARSON,M,21-24,No weapon / unknown,29,1.98
ARSON,M,65+,Other weapon,26,1.78
ARSON,X,18-20,No weapon / unknown,24,1.64
ARSON,F,65+,Other weapon,18,1.23
ARSON,X,21-24,No weapon / unknown,16,1.09
ARSON,F,21-24,No weapon / unknown,11,0.75
ARSON,F,21-24,Other weapon,10,0.68
ARSON,M,18-20,No weapon / unknown,10,0.68
ARSON,M,21-24,Other weapon,6,0.41
ARSON,F,18-20,No weapon / unknown,5,0.34
ARSON,M,18-20,Other weapon,5,0.34
ARSON,X,21-24,Other weapon,5,0.34
ARSON,F,25-34,Personal weapons,4,0.27
ARSON,X,35-49,No weapon / unknown,4,0.27
ARSON,F,18-20,Other weapon,3,0.21
ARSON,M,2-9,No weapon / unknown,3,0.21
ARSON,M,10-12,No weapon / unknown,2,0.14
ARSON,M,13-17,No weapon / unknown,2,0.14
ARSON,M,25-34,Personal weapons,2,0.14
ARSON,F,2-9,Other weapon,1,0.07
ARSON,F,10-12,No weapon / unknown,1,0.07
ARSON,F,13-17,No weapon / unknown,1,0.07
ARSON,F,13-17,Other weapon,1,0.07
ARSON,M,13-17,Other weapon,1,0.07
ARSON,M,65+,Personal weapons,1,0.07
ARSON,X,50-64,No weapon / unknown,1,0.07
ARSON,X,65+,No weapon / unknown,1,0.07
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,25-34,Other weapon,55,21.24
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,35-49,Other weapon,55,21.24
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,21-24,Other weapon,35,13.51
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,21-24,Other weapon,17,6.56
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,18-20,Other weapon,15,5.79
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,50-64,Other weapon,14,5.41
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,21-24,Personal weapons,7,2.7
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,F,35-49,Other weapon,6,2.32
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,25-34,Knife / sharp object,6,2.32
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,25-34,Personal weapons,6,2.32
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,35-49,Firearm,4,1.54
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,35-49,Knife / sharp object,4,1.54
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,35-49,Personal weapons,4,1.54
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,25-34,Firearm,3,1.16
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,50-64,Firearm,3,1.16
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,21-24,Firearm,3,1.16
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,F,21-24,Other weapon,2,0.77
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,F,25-34,Other weapon,2,0.77
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,F,50-64,Other weapon,2,0.77
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,2-9,Other weapon,2,0.77
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,25-34,Blunt object,2,0.77
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,10-12,Personal weapons,2,0.77
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,F,25-34,Knife / sharp object,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,F,25-34,Personal weapons,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,2-9,Firearm,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,21-24,Personal weapons,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,50-64,Blunt object,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,18-20,Personal weapons,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,21-24,Blunt object,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,21-24,Knife / sharp object,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,25-34,Personal weapons,1,0.39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,35-49,Other weapon,1,0.39
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,35-49,Other weapon,5233,10.16
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,25-34,Other weapon,4387,8.52
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,50-64,Other weapon,3574,6.94
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,25-34,Firearm,2686,5.22
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,35-49,Firearm,2356,4.58
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,35-49,Other weapon,1981,3.85
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,25-34,Other weapon,1807,3.51
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,35-49,Knife / sharp object,1719,3.34
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,25-34,Knife / sharp object,1650,3.2
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,50-64,Other weapon,1323,2.57
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,35-49,Personal weapons,1307,2.54
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,21-24,Other weapon,1291,2.51
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,25-34,Personal weapons,1227,2.38
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,50-64,Knife / sharp object,1059,2.06
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,50-64,Firearm,1035,2.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,21-24,Firearm,1024,1.99
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,50-64,Personal weapons,982,1.91
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,65+,Other weapon,949,1.84
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,25-34,Firearm,854,1.66
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,35-49,Firearm,742,1.44
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,18-20,Firearm,724,1.41
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,18-20,Other weapon,683,1.33
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,21-24,Other weapon,620,1.2
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,25-34,Personal weapons,542,1.05
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,35-49,Personal weapons,532,1.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,35-49,Knife / sharp object,495,0.96
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,21-24,Knife / sharp object,487,0.95
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,13-17,Firearm,460,0.89
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,35-49,Blunt object,460,0.89
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,25-34,Knife / sharp object,439,0.85
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,21-24,Firearm,422,0.82
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,65+,Personal weapons,411,0.8
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,50-64,Personal weapons,406,0.79
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,65+,Other weapon,391,0.76
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,13-17,Other weapon,388,0.75
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,25-34,Blunt object,372,0.72
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,18-20,Other weapon,369,0.72
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,21-24,Personal weapons,365,0.71
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,50-64,Knife / sharp object,342,0.66
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,50-64,Firearm,338,0.66
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,50-64,Blunt object,322,0.63
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,18-20,Firearm,258,0.5
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,21-24,Personal weapons,254,0.49
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,18-20,Knife / sharp object,247,0.48
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,65+,Personal weapons,239,0.46
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,13-17,Personal weapons,232,0.45
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,65+,Knife / sharp object,231,0.45
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,18-20,Personal weapons,195,0.38
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,65+,Firearm,189,0.37
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,13-17,Other weapon,184,0.36
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,13-17,Firearm,165,0.32
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,21-24,Knife / sharp object,165,0.32
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,13-17,Knife / sharp object,153,0.3
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,35-49,Blunt object,144,0.28
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,18-20,Personal weapons,139,0.27
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,13-17,Personal weapons,124,0.24
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,21-24,Blunt object,116,0.23
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,25-34,Blunt object,114,0.22
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,18-20,Knife / sharp object,110,0.21
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,65+,Blunt object,86,0.17
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,2-9,Other weapon,78,0.15
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,50-64,Blunt object,77,0.15
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,65+,Firearm,73,0.14
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,65+,Knife / sharp object,63,0.12
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,13-17,Knife / sharp object,62,0.12
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,2-9,Other weapon,57,0.11
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,21-24,Firearm,57,0.11
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,18-20,Blunt object,54,0.1
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,2-9,Firearm,52,0.1
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,2-9,Firearm,51,0.1
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,25-34,Other weapon,49,0.1
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,10-12,Other weapon,45,0.09
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,10-12,Firearm,43,0.08
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,35-49,Other weapon,42,0.08
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,21-24,Blunt object,40,0.08
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,18-20,Firearm,40,0.08
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,25-34,Firearm,36,0.07
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,10-12,Other weapon,31,0.06
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,13-17,Blunt object,30,0.06
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,35-49,Firearm,30,0.06
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,21-24,Other weapon,28,0.05
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,10-12,Personal weapons,24,0.05
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,10-12,Personal weapons,22,0.04
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,10-12,Firearm,21,0.04
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,50-64,Firearm,18,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,2-9,Firearm,16,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,2-9,Other weapon,16,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,13-17,Firearm,16,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,18-20,Blunt object,15,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,13-17,Blunt object,14,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,65+,Blunt object,14,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,18-20,Other weapon,14,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,10-12,Other weapon,13,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,50-64,Other weapon,13,0.03
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,25-34,Knife / sharp object,11,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,2-9,Knife / sharp object,10,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,21-24,Knife / sharp object,10,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,50-64,Knife / sharp object,10,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,65+,Other weapon,10,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,10-12,Knife / sharp object,9,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,10-12,Knife / sharp object,8,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,13-17,Other weapon,8,0.02
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,21-24,Personal weapons,6,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,35-49,Knife / sharp object,6,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,35-49,Personal weapons,6,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,2-9,Knife / sharp object,5,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,2-9,Personal weapons,5,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,2-9,Personal weapons,5,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,65+,Knife / sharp object,4,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,18-20,Knife / sharp object,3,0.01
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,2-9,Blunt object,2,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,10-12,Blunt object,2,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,10-12,Firearm,2,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,18-20,Personal weapons,2,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,25-34,Personal weapons,2,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,35-49,Blunt object,2,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,10-12,Blunt object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,35-49,No weapon / unknown,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,2-9,Knife / sharp object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,10-12,Knife / sharp object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,21-24,Blunt object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,25-34,Blunt object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,50-64,Blunt object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,65+,Blunt object,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,65+,Firearm,1,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,65+,Personal weapons,1,0.0
ATTEMPTED ROBBERY,M,35-49,Personal weapons,330,7.84
ATTEMPTED ROBBERY,M,35-49,Other weapon,237,5.63
ATTEMPTED ROBBERY,M,25-34,Personal weapons,228,5.42
ATTEMPTED ROBBERY,M,50-64,Personal weapons,216,5.13
ATTEMPTED ROBBERY,F,35-49,Personal weapons,203,4.82
ATTEMPTED ROBBERY,M,35-49,Firearm,193,4.58
ATTEMPTED ROBBERY,M,25-34,Other weapon,192,4.56
ATTEMPTED ROBBERY,M,50-64,Other weapon,175,4.16
ATTEMPTED ROBBERY,M,25-34,Firearm,171,4.06
ATTEMPTED ROBBERY,F,50-64,Personal weapons,164,3.9
ATTEMPTED ROBBERY,F,25-34,Personal weapons,153,3.63
ATTEMPTED ROBBERY,M,35-49,Knife / sharp object,132,3.14
ATTEMPTED ROBBERY,M,25-34,Knife / sharp object,117,2.78
ATTEMPTED ROBBERY,M,50-64,Knife / sharp object,98,2.33
ATTEMPTED ROBBERY,M,50-64,Firearm,90,2.14
ATTEMPTED ROBBERY,M,21-24,Personal weapons,81,1.92
ATTEMPTED ROBBERY,M,21-24,Firearm,78,1.85
ATTEMPTED ROBBERY,M,65+,Personal weapons,74,1.76
ATTEMPTED ROBBERY,F,35-49,Other weapon,70,1.66
ATTEMPTED ROBBERY,M,13-17,Personal weapons,65,1.54
ATTEMPTED ROBBERY,F,65+,Personal weapons,64,1.52
ATTEMPTED ROBBERY,F,21-24,Personal weapons,61,1.45
ATTEMPTED ROBBERY,M,21-24,Other weapon,61,1.45
ATTEMPTED ROBBERY,F,25-34,Other weapon,52,1.24
ATTEMPTED ROBBERY,F,25-34,Firearm,49,1.16
ATTEMPTED ROBBERY,M,18-20,Personal weapons,46,1.09
ATTEMPTED ROBBERY,F,50-64,Other weapon,45,1.07
ATTEMPTED ROBBERY,F,35-49,Firearm,44,1.05
ATTEMPTED ROBBERY,M,21-24,Knife / sharp object,42,1.0
ATTEMPTED ROBBERY,M,65+,Other weapon,42,1.0
ATTEMPTED ROBBERY,M,18-20,Firearm,38,0.9
ATTEMPTED ROBBERY,F,18-20,Personal weapons,35,0.83
ATTEMPTED ROBBERY,M,18-20,Other weapon,34,0.81
ATTEMPTED ROBBERY,F,35-49,Knife / sharp object,32,0.76
ATTEMPTED ROBBERY,M,13-17,Other weapon,30,0.71
ATTEMPTED ROBBERY,F,13-17,Personal weapons,27,0.64
ATTEMPTED ROBBERY,F,50-64,Knife / sharp object,25,0.59
ATTEMPTED ROBBERY,M,18-20,Knife / sharp object,25,0.59
ATTEMPTED ROBBERY,M,65+,Firearm,25,0.59
ATTEMPTED ROBBERY,F,25-34,Knife / sharp object,24,0.57
ATTEMPTED ROBBERY,M,13-17,Firearm,24,0.57
ATTEMPTED ROBBERY,M,13-17,Knife / sharp object,22,0.52
ATTEMPTED ROBBERY,F,21-24,Other weapon,20,0.48
ATTEMPTED ROBBERY,F,50-64,Firearm,20,0.48
ATTEMPTED ROBBERY,M,65+,Knife / sharp object,20,0.48
ATTEMPTED ROBBERY,M,35-49,Blunt object,17,0.4
ATTEMPTED ROBBERY,M,50-64,Blunt object,16,0.38
ATTEMPTED ROBBERY,M,25-34,Blunt object,15,0.36
ATTEMPTED ROBBERY,F,21-24,Firearm,14,0.33
ATTEMPTED ROBBERY,X,21-24,Personal weapons,14,0.33
ATTEMPTED ROBBERY,F,18-20,Other weapon,12,0.29
ATTEMPTED ROBBERY,F,18-20,Firearm,11,0.26
ATTEMPTED ROBBERY,F,65+,Other weapon,11,0.26
ATTEMPTED ROBBERY,X,18-20,Other weapon,11,0.26
ATTEMPTED ROBBERY,F,18-20,Knife / sharp object,10,0.24
ATTEMPTED ROBBERY,F,65+,Knife / sharp object,10,0.24
ATTEMPTED ROBBERY,F,13-17,Firearm,8,0.19
ATTEMPTED ROBBERY,X,21-24,Other weapon,8,0.19
ATTEMPTED ROBBERY,F,13-17,Other weapon,7,0.17
ATTEMPTED ROBBERY,X,18-20,Personal weapons,7,0.17
ATTEMPTED ROBBERY,X,21-24,Firearm,7,0.17
ATTEMPTED ROBBERY,F,65+,Firearm,6,0.14
ATTEMPTED ROBBERY,M,10-12,Personal weapons,5,0.12
ATTEMPTED ROBBERY,X,21-24,Knife / sharp object,5,0.12
ATTEMPTED ROBBERY,F,10-12,Personal weapons,4,0.1
ATTEMPTED ROBBERY,F,21-24,Knife / sharp object,4,0.1
ATTEMPTED ROBBERY,M,10-12,Other weapon,4,0.1
ATTEMPTED ROBBERY,M,21-24,Blunt object,4,0.1
ATTEMPTED ROBBERY,F,13-17,Knife / sharp object,3,0.07
ATTEMPTED ROBBERY,F,21-24,Blunt object,3,0.07
ATTEMPTED ROBBERY,F,35-49,Blunt object,3,0.07
ATTEMPTED ROBBERY,M,2-9,Personal weapons,2,0.05
ATTEMPTED ROBBERY,M,65+,Blunt object,2,0.05
ATTEMPTED ROBBERY,X,18-20,Firearm,2,0.05
ATTEMPTED ROBBERY,X,35-49,Personal weapons,2,0.05
ATTEMPTED ROBBERY,F,2-9,Personal weapons,1,0.02
ATTEMPTED ROBBERY,F,25-34,Blunt object,1,0.02
ATTEMPTED ROBBERY,F,50-64,Blunt object,1,0.02
ATTEMPTED ROBBERY,M,2-9,Other weapon,1,0.02
ATTEMPTED ROBBERY,M,10-12,Firearm,1,0.02
ATTEMPTED ROBBERY,M,10-12,Knife / sharp object,1,0.02
ATTEMPTED ROBBERY,X,21-24,Blunt object,1,0.02
ATTEMPTED ROBBERY,X,25-34,Blunt object,1,0.02
ATTEMPTED ROBBERY,X,25-34,Personal weapons,1,0.02
BATTERY - SIMPLE ASSAULT,M,35-49,Personal weapons,9494,12.85
BATTERY - SIMPLE ASSAULT,M,25-34,Personal weapons,8591,11.63
BATTERY - SIMPLE ASSAULT,F,35-49,Personal weapons,8411,11.39
BATTERY - SIMPLE ASSAULT,M,50-64,Personal weapons,8041,10.88
BATTERY - SIMPLE ASSAULT,F,25-34,Personal weapons,7599,10.29
BATTERY - SIMPLE ASSAULT,F,50-64,Personal weapons,6367,8.62
BATTERY - SIMPLE ASSAULT,M,65+,Personal weapons,3079,4.17
BATTERY - SIMPLE ASSAULT,M,21-24,Personal weapons,2777,3.76
BATTERY - SIMPLE ASSAULT,F,21-24,Personal weapons,2709,3.67
BATTERY - SIMPLE ASSAULT,F,65+,Personal weapons,2588,3.5
BATTERY - SIMPLE ASSAULT,F,13-17,Personal weapons,1679,2.27
BATTERY - SIMPLE ASSAULT,F,18-20,Personal weapons,1594,2.16
BATTERY - SIMPLE ASSAULT,M,18-20,Personal weapons,1337,1.81
BATTERY - SIMPLE ASSAULT,M,13-17,Personal weapons,1333,1.8
BATTERY - SIMPLE ASSAULT,M,35-49,Other weapon,1077,1.46
BATTERY - SIMPLE ASSAULT,F,35-49,Other weapon,1002,1.36
BATTERY - SIMPLE ASSAULT,M,50-64,Other weapon,952,1.29
BATTERY - SIMPLE ASSAULT,F,50-64,Other weapon,839,1.14
BATTERY - SIMPLE ASSAULT,M,25-34,Other weapon,809,1.1
BATTERY - SIMPLE ASSAULT,F,25-34,Other weapon,730,0.99
BATTERY - SIMPLE ASSAULT,M,65+,Other weapon,346,0.47
BATTERY - SIMPLE ASSAULT,F,65+,Other weapon,308,0.42
BATTERY - SIMPLE ASSAULT,F,10-12,Personal weapons,303,0.41
BATTERY - SIMPLE ASSAULT,M,10-12,Personal weapons,284,0.38
BATTERY - SIMPLE ASSAULT,M,21-24,Other weapon,235,0.32
BATTERY - SIMPLE ASSAULT,F,21-24,Other weapon,221,0.3
BATTERY - SIMPLE ASSAULT,F,18-20,Other weapon,128,0.17
BATTERY - SIMPLE ASSAULT,M,2-9,Personal weapons,127,0.17
BATTERY - SIMPLE ASSAULT,F,2-9,Personal weapons,104,0.14
BATTERY - SIMPLE ASSAULT,M,18-20,Other weapon,91,0.12
BATTERY - SIMPLE ASSAULT,F,13-17,Other weapon,62,0.08
BATTERY - SIMPLE ASSAULT,M,13-17,Other weapon,61,0.08
BATTERY - SIMPLE ASSAULT,X,25-34,Personal weapons,60,0.08
BATTERY - SIMPLE ASSAULT,X,35-49,Personal weapons,58,0.08
BATTERY - SIMPLE ASSAULT,X,50-64,Personal weapons,43,0.06
BATTERY - SIMPLE ASSAULT,X,21-24,Personal weapons,32,0.04
BATTERY - SIMPLE ASSAULT,M,35-49,Blunt object,31,0.04
BATTERY - SIMPLE ASSAULT,X,13-17,Personal weapons,27,0.04
BATTERY - SIMPLE ASSAULT,F,50-64,Blunt object,26,0.04
BATTERY - SIMPLE ASSAULT,M,50-64,Blunt object,26,0.04
BATTERY - SIMPLE ASSAULT,F,35-49,Blunt object,25,0.03
BATTERY - SIMPLE ASSAULT,M,10-12,Other weapon,23,0.03
BATTERY - SIMPLE ASSAULT,M,2-9,Other weapon,20,0.03
BATTERY - SIMPLE ASSAULT,X,18-20,Personal weapons,20,0.03
