"seller_city_analysis","delivered_reviewed_orders","late_delivery_rate_percent","negative_review_rate_percent","avg_review_score","avg_approval_to_carrier_days","avg_delay_days","delay_1_7_orders","delay_8_14_orders","delay_15_21_orders","delay_22_30_orders","delay_31_60_orders","avg_latitude","avg_longitude","late_delivery_rate_gap_vs_sp_avg","negative_review_rate_gap_vs_sp_avg","approval_to_carrier_gap_vs_sp_avg","follow_up_priority"
cajamar,196,5.10,4.59,4.44,1.07,12.20,7,1,0,1,1,-23.370949,-46.847994,-1.97,-8.58,-1.56,Below SP average
serra negra,191,5.76,9.42,4.34,1.72,8.27,5,4,2,0,0,-22.614621,-46.709593,-1.31,-3.75,-0.91,Below SP average
mogi guacu,191,3.66,7.85,4.37,2.77,5.25,5,1,1,0,0,-22.379777,-46.938769,-3.41,-5.32,0.14,Monitor closely
carapicuiba,188,6.38,6.38,4.23,1.72,6.92,9,2,0,1,0,-23.558280,-46.834343,-0.69,-6.79,-0.91,Below SP average
marilia,187,5.88,17.65,3.97,3.54,12.31,5,4,0,0,2,-22.195916,-49.954613,-1.19,4.48,0.91,Monitor closely
diadema,175,7.43,11.43,4.24,1.80,7.77,7,3,2,1,0,-23.685081,-46.611458,0.36,-1.74,-0.83,Monitor closely
itapecerica da serra,173,6.36,10.40,4.19,1.41,10.36,5,4,1,0,1,-23.715931,-46.856466,-0.71,-2.77,-1.22,Below SP average
ribeirao pires,173,4.05,12.72,4.04,1.67,9.38,4,1,1,1,0,-23.711051,-46.411831,-3.02,-0.45,-0.96,Below SP average
vicente de carvalho,169,4.14,12.43,4.06,1.90,8.57,4,2,0,1,0,-23.941954,-46.302565,-2.93,-0.74,-0.73,Below SP average
porto ferreira,166,12.05,22.89,3.50,3.88,10.88,9,5,4,1,1,-21.866032,-47.478102,4.98,9.72,1.25,High priority
pradopolis,158,10.76,12.66,4.19,1.99,9.22,13,1,1,1,0,-21.359937,-48.073913,3.69,-0.51,-0.64,Monitor closely
capivari,153,5.88,15.69,4.07,2.21,8.56,6,1,1,1,0,-22.997484,-47.505725,-1.19,2.52,-0.42,Monitor closely
bauru,152,5.26,10.53,4.30,1.96,11.78,1,5,2,0,0,-22.331608,-49.066213,-1.81,-2.64,-0.67,Below SP average
sao carlos,152,6.58,14.47,4.07,3.93,8.58,5,3,2,0,0,-22.011846,-47.883357,-0.49,1.30,1.30,Monitor closely
pirituba,150,12.00,12.00,4.12,2.94,9.75,9,3,4,2,0,-23.492024,-46.728984,4.93,-1.17,0.31,Monitor closely
sao caetano do sul,147,8.16,14.97,4.08,2.42,9.62,4,5,2,1,0,-23.625985,-46.560465,1.09,1.80,-0.21,Monitor closely
itajai,137,0.73,6.57,4.23,0.86,4.00,1,0,0,0,0,-26.911877,-48.656394,-6.34,-6.60,-1.77,Below SP average
santana de parnaiba,136,15.44,49.26,2.63,4.58,5.05,15,6,0,0,0,-23.448312,-46.926239,8.37,36.09,1.95,High priority
poa,135,1.48,10.37,4.27,1.22,10.00,1,0,1,0,0,-23.521944,-46.340875,-5.59,-2.80,-1.41,Below SP average
volta redonda,134,7.46,12.69,4.13,3.81,18.20,5,1,1,2,0,-22.496953,-44.127492,0.39,-0.48,1.18,Monitor closely
votuporanga,127,10.24,15.75,3.90,2.59,11.62,7,3,1,1,1,-20.416657,-49.984058,3.17,2.58,-0.04,Monitor closely
bebedouro,125,8.00,10.40,4.16,1.84,25.00,4,4,0,0,1,-20.924600,-48.490591,0.93,-2.77,-0.79,Monitor closely
jaboticabal,123,3.25,13.82,4.30,1.42,4.75,3,1,0,0,0,-21.252730,-48.319783,-3.82,0.65,-1.21,Monitor closely
belo horizonte,118,1.69,5.93,4.57,1.20,6.50,1,1,0,0,0,-19.822905,-43.969972,-5.38,-7.24,-1.43,Below SP average
garca,111,8.11,10.81,4.38,1.66,6.22,6,2,1,0,0,-22.211471,-49.658625,1.04,-2.36,-0.97,Monitor closely
louveira,106,5.66,12.26,4.01,3.75,12.83,3,2,0,0,1,-23.085505,-46.959541,-1.41,-0.91,1.12,Monitor closely
rio claro,102,5.88,9.80,4.42,1.29,3.17,6,0,0,0,0,-22.405666,-47.566633,-1.19,-3.37,-1.34,Below SP average
lencois paulista,100,6.00,11.00,4.17,1.31,31.33,1,3,1,0,0,-22.601267,-48.806339,-1.07,-2.17,-1.32,Below SP average
